Hs,Tp,Direction,damp_config,heave_std,heave_max,pitch_std,pitch_max,roll_std,roll_max
2.0,6.540000000000001,45,quadhigh,0.36562068964241734,-0.8587138009728339,0.25018343329429626,-2.9173560751859213,-0.9336339757048893,0.29926954873355255
2.0,6.540000000000001,90,quadhigh,0.34486099876672216,-0.07147970517798607,0.14703287184238434,-0.7914601229062743,-0.9343445602021997,0.2826518716327252
2.0,6.540000000000001,135,quadhigh,0.358445347705031,-0.12345029690493492,0.23665229976177216,0.22729119321827618,-0.9331066976354351,0.2984458750772432
2.0,6.540000000000001,180,quadhigh,0.3866838237369289,2.958813395939953,0.3353949785232544,12.853340561135889,-0.9343182156835257,0.33423343935875344
4.0,6.540000000000001,0,quadhigh,0.5096637268106363,3.5075963939673733,0.5695043206214905,12.305041735363485,-0.8928711336792335,0.1160420080022525
4.0,6.540000000000001,45,quadhigh,0.5682173045587842,-1.5832304563338813,0.9289177060127258,-6.663904799574205,-0.8920896580668206,0.01781715178709145
4.0,6.540000000000001,90,quadhigh,0.536328432120819,-0.7272710833118756,0.7377153635025024,-5.4971087063028055,-0.9105607288361461,0.10711431142919885
4.0,6.540000000000001,135,quadhigh,0.5649431537975097,-0.13140784181019827,0.8457669019699097,0.016446241747743784,-0.9146214731960871,0.2770326446145808
4.0,6.540000000000001,180,quadhigh,0.5982896755927372,5.816494647820853,0.8777933716773987,22.895862763408925,-0.9286733172279052,0.5684155372758948
2.0,8.72,0,quadhigh,0.4258217719813929,1.7533282847341367,0.4458894729614258,6.657709186004402,-0.9291201782118051,0.2902026292224192
2.0,8.72,45,quadhigh,0.4609192213600195,-0.8371230092713862,0.6298192143440247,-3.4073803132256693,-0.9313057241657552,0.2903137080523873
2.0,8.72,90,quadhigh,0.4451575361335503,-0.2820493007143232,0.5450093150138855,-1.3798198750871666,-0.9321718086311498,0.28789708778409984
2.0,8.72,135,quadhigh,0.4517728912822775,-0.31111322801409746,0.5665971040725708,-0.6319244062545248,-0.9324891857622322,0.29765145538559407
2.0,8.72,180,quadhigh,0.4772001991934887,2.7256571837893633,0.6824877858161926,10.617879000047058,-0.9328155194889468,0.33700552986382304
4.0,8.72,0,quadhigh,0.7116520457168675,3.141210635666557,1.2646193504333496,11.741991764391758,-0.8884802100692172,0.09870608315060259
4.0,8.72,45,quadhigh,0.7780640782794572,-1.5953847684298776,1.601664662361145,-6.769759071331064,-0.883176305611535,-0.037552153947692526
4.0,8.72,90,quadhigh,0.7493102691542828,-1.0274146191864544,1.3688870668411255,-5.52390695351135,-0.9024858872994453,0.10645291135578441
4.0,8.72,135,quadhigh,0.7592287486224852,-0.42839526178189424,1.4507920742034912,-0.9198745094916845,-0.9070166818454586,0.24312616651675723
4.0,8.72,180,quadhigh,0.7986891915807874,5.4549474686042485,1.6954463720321655,21.977797825616705,-0.908474435121836,0.49541626066222977
2.0,10.9,0,quadhigh,0.46074606450699523,1.3432534500797488,0.4888305068016052,5.362195912801815,-0.932276796796427,0.29429865608131484
2.0,10.9,45,quadhigh,0.48953472342186205,-0.6861758093452992,0.6896306872367859,-2.093560982975159,-0.9328922001016643,0.30211085716269753
2.0,10.9,90,quadhigh,0.47857890984091894,-0.2825016850034534,0.5999800562858582,-1.453690932281793,-0.9335854189026803,0.29994019527438
2.0,10.9,135,quadhigh,0.4832396994991415,-0.3325996042909096,0.6160668730735779,-0.5654380642131516,-0.9342313084981418,0.30206779539871503
2.0,10.9,180,quadhigh,0.5025455118736926,2.092765269017751,0.7494757175445557,9.445603323183963,-0.9344489842049015,0.3233389388745232
4.0,10.9,0,quadhigh,0.8163485872721948,2.4360872161979406,1.4743001461029053,8.764039265866058,-0.8944232525850523,0.12655754680399597
4.0,10.9,45,quadhigh,0.8780342859708199,-1.3725944322188437,1.836250901222229,-4.936613137727804,-0.8840346692436358,0.056771578336577574
4.0,10.9,90,quadhigh,0.8521214174671567,-0.8234358724052402,1.6540011167526245,-5.467720109851533,-0.8969972808334383,0.15056635546246844
4.0,10.9,135,quadhigh,0.8549623692306346,-0.47349155594789294,1.67709219455719,-1.1073751550395832,-0.9184350983854168,0.25833464514361115
4.0,10.9,180,quadhigh,0.8985011925532808,4.267378173430709,1.948913812637329,19.413199584322875,-0.9009293652217378,0.35379656464099624
2.0,13.080000000000002,0,quadhigh,0.4786425457531345,1.0003865689969413,0.6189451217651367,4.778895556964425,-0.9336772880261611,0.29104289242929327
2.0,13.080000000000002,45,quadhigh,0.49925378274331905,-0.5505212189541685,0.7743187546730042,-1.286426429697351,-0.9344997784573313,0.3079447895134736
2.0,13.080000000000002,90,quadhigh,0.49172488534574516,-0.23535399949498392,0.6803390383720398,-0.9977484844267619,-0.9347271621159838,0.30816438096410803
2.0,13.080000000000002,135,quadhigh,0.4960638506944751,-0.292870563617628,0.6926702857017517,-0.9033407559451994,-0.935651550268518,0.3039244530338916
2.0,13.080000000000002,180,quadhigh,0.5104505881666498,1.5873672200218802,0.8215333223342896,6.359157694005592,-0.9357799962315618,0.31388064485118106
4.0,13.080000000000002,0,quadhigh,0.882285694891001,1.9173749371242543,1.8627179861068726,7.966684793848312,-0.8876740481947843,0.09587183257992
4.0,13.080000000000002,45,quadhigh,0.9335807645078454,-1.1108776486829992,2.2333157062530518,-2.1501017158113473,-0.8806586637719753,0.08006900535461933
4.0,13.080000000000002,90,quadhigh,0.9103925526784041,-0.6814377321252139,2.003671169281006,-3.8499091233244416,-0.8941845952760551,0.15489385381269224
4.0,13.080000000000002,135,quadhigh,0.9128921692635061,-0.45331944932025925,1.9381369352340698,-1.697848850768593,-0.9197196370523875,0.2777248751307338
4.0,13.080000000000002,180,quadhigh,0.9502471834276074,3.314802398330104,2.334181308746338,13.45189211646965,-0.887181566676222,0.23666234139308354
