Hs,Tp,Direction,damp_config,heave_std,pitch_std,roll_std,heave_max,pitch_max,roll_max
2.0,8.72,0,low,0.4293878126372392,1.7830456749238213,0.000304168917999,1.3921753947282705,6.516594839398127,0.0010911132619357
2.0,8.72,45,low,0.4650543936393083,1.3748836436419596,2.2384101586382426,1.5815533069262258,4.803639333061391,8.53961610664058
2.0,8.72,90,low,0.4489273925428229,1.381612204914044,1.6646651278844402,1.4975919524706285,4.616689825637783,6.340948293601776
2.0,8.72,135,low,0.456043810613461,0.8390268465856908,1.157956891232213,1.522140967745283,3.640140931089054,4.564545910906109
2.0,8.72,180,low,0.4819452893445086,2.813606722484492,0.0004098933773963,1.636519138000414,10.808226396359164,0.0011903540060458
4.0,8.72,0,low,0.719705479673362,3.2166533792076137,0.0004187264642612,2.174087181845007,11.931269832475548,0.0019190520135138
4.0,8.72,45,low,0.7868681419686241,2.773448904845878,4.446805841379444,2.5192818639196783,10.383293073687808,17.489179053488115
4.0,8.72,90,low,0.7576830300856333,2.4367568770296457,3.5186163219733824,2.3007466913574093,8.564192423564235,14.250195854896916
4.0,8.72,135,low,0.7683227054286891,1.930729717261846,2.367489022528465,2.390773772073021,8.499672282863497,9.530806411738968
4.0,8.72,180,low,0.8070821842367828,5.738916607594071,0.0005989559606531,2.6306602993313684,22.545104926939317,0.0021756141980772
2.0,10.9,0,low,0.4631647771141533,1.360964287658866,0.0002584699073144,1.4299925480000537,5.15003420264814,0.0010689861875321
2.0,10.9,45,low,0.4923871514226215,1.0726337442393503,1.7746888308628597,1.6370617355297594,5.181079036896028,7.785313983117138
2.0,10.9,90,low,0.4811679224657835,1.0872933235729256,1.3683983134001063,1.546744989926784,4.416161775327968,6.249453559499988
2.0,10.9,135,low,0.4860177303573174,0.6484625614563034,0.9885631672574234,1.5695269747747305,3.403984814045796,4.285207782290729
2.0,10.9,180,low,0.505787218763861,2.1409524672079843,0.0003402320018367,1.6989707411288584,9.741826788682356,0.0012796244515189
4.0,10.9,0,low,0.8225871658626064,2.4728843433246843,0.000412856248843,2.3755015297128668,8.78487538349048,0.0028941341255927
4.0,10.9,45,low,0.8849734328293528,2.1358093672576723,3.5648210144561934,2.7323786793295737,10.23412310452173,15.709778305641692
4.0,10.9,90,low,0.8588614751834153,1.9942865483071923,2.829179332647247,2.5622966095024045,7.616871342028876,13.762536201279216
4.0,10.9,135,low,0.8618683673748191,1.5109875035409763,1.9931158611606543,2.623520098633404,7.655841587741922,8.95897711769823
4.0,10.9,180,low,0.9055336723438916,4.434530110366185,0.0005204178208109,2.862566539145682,20.030036008131752,0.0021049202633336
2.0,13.080000000000002,0,low,0.4801461442667643,1.0098044138118143,0.0002171211620468,1.555956214350513,4.50652410728822,0.0010534187222296
2.0,13.080000000000002,45,low,0.5009997799044914,0.8167376218346707,1.3764556847173894,1.7144245519657235,3.8772833780086495,5.519425636236647
2.0,13.080000000000002,90,low,0.4933372232152549,0.8479498314619146,1.0807931208884038,1.621459238114724,2.978826691066269,4.299123107943782
2.0,13.080000000000002,135,low,0.4977509086903324,0.4985543286717916,0.796730576120152,1.6333037542945783,2.2507559858945685,3.4818893021972777
2.0,13.080000000000002,180,low,0.5124258353282983,1.6123346887211634,0.0002820355281581,1.7621019992753064,6.105693786439785,0.0011486707188669
4.0,13.080000000000002,0,low,0.8867902317745121,1.9344736667672708,0.0003687123969796,2.755709043342309,7.806029992094557,0.0030056330570804
4.0,13.080000000000002,45,low,0.9385704319408664,1.6559941060354453,2.802696892508557,3.1332866887708435,8.79068400770151,11.302183044501048
4.0,13.080000000000002,90,low,0.9152203073393262,1.594302433181073,2.271678307528014,2.9164598375707573,5.62175205351439,9.655540716562172
4.0,13.080000000000002,135,low,0.9177472418086946,1.192960028045995,1.6536652129180136,2.875931011624515,5.892701286902584,7.778074689768732
4.0,13.080000000000002,180,low,0.9555614549053388,3.400257823612748,0.000431864073892,3.241743591881069,13.60210055080015,0.0017631576396809
2.0,4.36,0,linhigh,0.1169860081060334,1.7074261327881723,0.0001079549536469,0.3950117811621338,5.901393331211192,0.0009462123383199
2.0,4.36,45,linhigh,0.125281694159027,0.768309281572436,1.185859520828708,0.4197960481064187,2.726710686827765,4.564008892717009
2.0,4.36,90,linhigh,0.1106367935231526,0.7510270825244544,0.7160885176035284,0.3523415072367147,2.7925537991155123,2.735621615651358
2.0,4.36,135,linhigh,0.1216266800891173,0.5823490250545086,0.3965354953770709,0.4463886233802746,2.3051960467457926,1.6636100092914845
2.0,4.36,180,linhigh,0.1440818525944406,1.8673895158120373,0.0001199842377592,0.4918003868780753,6.998821626246673,0.0009954135789493
4.0,4.36,0,linhigh,0.1891941032199166,3.246716373063307,0.000179625305363,0.6368595641012545,11.569114141197035,0.0009130385566856
4.0,4.36,45,linhigh,0.2069251625185798,1.5894039916353593,2.427668093180085,0.6390980386080013,5.870269159677752,9.580126626388664
4.0,4.36,90,linhigh,0.1739351580684508,1.570676705741114,1.4859419673927483,0.5469186743569595,6.196896402047423,5.777308783515079
4.0,4.36,135,linhigh,0.2015862758363001,1.231116011830665,0.8824589829300427,0.6892906322164668,5.272283192530525,3.931795779685182
4.0,4.36,180,linhigh,0.2488167726167153,3.792294997972424,0.0002516667533686,0.7873655483019021,14.497063180631296,0.0015532814659347
2.0,6.540000000000001,0,linhigh,0.319113020392748,1.950265575320668,0.0002465551910897,0.9441865635041958,6.961473261499268,0.0010160879512175
2.0,6.540000000000001,45,linhigh,0.3526228376083235,1.3001085691727094,2.125693692769805,1.1618500864311168,5.2599476778616125,8.485983724162994
2.0,6.540000000000001,90,linhigh,0.3326367686714533,1.3875782514036756,1.437521810809428,1.060736894981524,5.031559227649913,6.006152656653287
