,mean,std,min,max,skewness,kurtosis,normaltest_stat,p_value,normaal_bij_alpha=0.05,best_dist,AIC_best,AIC_norm,delta_AIC_(norm-best)
Hs4_Tp9_low_v_Z,-0.0012859563922399096,0.6291084666119583,-2.621754441040201,2.10836365962014,-0.11766323819296255,-0.1380106297712298,173.11309685280682,2.564298898572416e-38,False,gennorm,103074.8129784935,103197.50037669356,122.6873982000543
Hs4_Tp9_low_v_pitch,-2.748060038858555e-06,0.08117508657998344,-0.2654898464679718,0.3118124008178711,0.027398442173710975,-0.19157776556183093,107.84081229248494,3.82529690165805e-24,False,gennorm,-118060.35640807544,-117957.68743609898,102.66897197646904
Hs4_Tp9_low_v_roll,2.7447822570965445e-07,6.3095404514756604e-06,-0.0001292494853259,0.0001141407192335,-0.47665690560714813,23.39258280240477,15804.517319723023,0.0,False,logistic,-1144861.761577724,-1139905.1004101464,4956.661167577608
Hs4_Tp9_linhigh_v_Z,-0.00037229338137489374,0.6121715110522746,-2.542749568002992,2.013803317858714,-0.15622074655041832,-0.16367312312758697,288.5205645322959,2.2312870969172017e-63,False,skewnorm,100049.26770156121,100249.99676560379,200.7290640425781
Hs4_Tp9_linhigh_v_pitch,-2.5745469889653764e-06,0.07774702720965941,-0.2581128180027008,0.3014667630195617,0.03202456188025232,-0.16272789509914887,79.76882847988266,4.7689084104957645e-18,False,gennorm,-122685.81488616206,-122617.76523714323,68.0496490188234
Hs4_Tp9_linhigh_v_roll,2.4876460810035715e-07,5.820974634310788e-06,-9.56466974457726e-05,0.000114360016596,0.05418807251940452,12.479104896020063,10588.290524538948,0.0,False,logistic,-1150057.1528638513,-1148609.536140322,1447.616723529296
Hs4_Tp9_quadhigh_v_Z,-0.0006341459098217441,0.6207190663127878,-2.503715315617264,2.0274440285099637,-0.13577336395674142,-0.20870519574015045,286.8509852637444,5.141620112321554e-63,False,gennorm,101517.70994241773,101747.56333196422,229.85338954649342
Hs4_Tp9_quadhigh_v_pitch,-2.627412578487649e-06,0.07856132292726241,-0.2566319108009338,0.2991855442523956,0.031471504433694,-0.21929250379184673,145.74637377080822,2.2468654024446893e-32,False,gennorm,-121628.48396018549,-121492.47203784104,136.01192234444898
Hs4_Tp9_quadhigh_v_roll,2.6755950316755523e-07,6.049477144366055e-06,-8.350049029104412e-05,0.0001034480446833,0.23098277491154814,12.349224854051016,10973.530586272145,0.0,False,logistic,-1146104.2991629965,-1144451.0125276104,1653.286635386059
Hs4_Tp9_DOFbest_v_Z,-0.0005210084429780603,0.618019611770536,-2.534546879223992,2.026325311011116,-0.1427542547134427,-0.18524812161720128,275.4473170322682,1.5394836430937452e-60,False,gennorm,101082.92218013675,101276.84750442108,193.92532428432605
Hs4_Tp9_DOFbest_v_pitch,-2.587394634262138e-06,0.07820933964290158,-0.2576617002487182,0.3009696006774902,0.031869327135079784,-0.18609926875624438,103.91945757163597,2.7175435157624255e-23,False,gennorm,-122070.4503160142,-121977.44750368122,93.00281233298301
Hs4_Tp9_DOFbest_v_roll,2.6393721452187047e-07,6.217146245342198e-06,-0.0001313927205046,0.0001221897546201,0.0626589603464882,22.082305219465248,13683.180093193929,0.0,False,logistic,-1146401.521664243,-1141498.3293706817,4903.1922935612965
Hs6_Tp9_low_v_Z,0.012018051409422466,0.8917533840014934,-3.7893810524729785,3.5204754474593525,-0.2222693227493778,0.46931350397551785,764.2326403224049,1.1194139347517982e-166,False,skewnorm,140462.3420829186,140877.87904657447,415.5369636558753
Hs6_Tp9_low_v_pitch,-1.83901251764735e-06,0.1197599152187265,-0.3982686102390289,0.4739454686641693,0.06809234436065786,-0.17889098113769908,128.49671622595037,1.2511016596063727e-28,False,gennorm,-76040.91719794489,-75957.79973270997,83.11746523491456
Hs6_Tp9_low_v_roll,5.968032086426007e-07,1.427101139777479e-05,-0.000507173826918,0.0005999430431984,1.0169886707144333,195.4166311904244,30251.20692145992,0.0,False,t,-1101143.945153198,-1051757.3824499778,49386.562703220174
Hs6_Tp9_linhigh_v_Z,0.01308950672287425,0.8680857544073866,-3.658950949283657,3.341994313372358,-0.24627259573385538,0.4127550333410275,796.9940650642118,8.60870283262706e-174,False,skewnorm,137462.00302508147,137972.72095380066,510.71792871918296
Hs6_Tp9_linhigh_v_pitch,-1.6540649851201005e-06,0.1155377257950857,-0.3849870264530182,0.4600272476673126,0.07873852056943892,-0.15261283278232973,116.97174492178003,3.980231394608435e-26,False,gennorm,-79891.08939960689,-79834.19944835204,56.88995125485235
Hs6_Tp9_linhigh_v_roll,5.095003046450575e-07,1.2999611631584715e-05,-0.0004329579533077,0.0004513497406151,0.6952965800928539,147.4317092880756,26211.67287849585,0.0,False,t,-1100080.118265803,-1061835.1378760259,38244.980389777105
Hs6_Tp9_quadhigh_v_Z,0.012950744369120961,0.8729274363644931,-3.51045814412896,3.28493062173757,-0.2282891190142887,0.30476611735601544,616.2532327323697,1.5216360352748188e-134,False,skewnorm,138125.2941801545,138573.4202311247,448.12605097019696
Hs6_Tp9_quadhigh_v_pitch,-1.7320373325996271e-06,0.11517508701345576,-0.375108927488327,0.4498665034770965,0.08065685018722414,-0.21259166018947662,185.9612105934237,4.1594527537649384e-41,False,gennorm,-80298.23416677785,-80173.71891822005,124.51524855780008
Hs6_Tp9_quadhigh_v_roll,5.322821277196027e-07,1.2715662596858428e-05,-0.0004592637415044,0.000491161015816,1.0243716315910802,165.0657272867144,29691.03343527122,0.0,False,t,-1099513.8438133649,-1064220.3591919036,35293.48462146125
Hs6_Tp9_DOFbest_v_Z,0.012985084646803194,0.8728324532639242,-3.599921610024949,3.3352110867929694,-0.23603835669283865,0.36464210989550905,704.5792506746716,1.005911293901249e-153,False,skewnorm,138088.0526005313,138561.66791066076,473.6153101294767
Hs6_Tp9_DOFbest_v_pitch,-1.6939454298265766e-06,0.11554941658746361,-0.3814878761768341,0.4564616978168487,0.07948585011765545,-0.1783969139178625,143.02334373842552,8.767494770753318e-32,False,gennorm,-79905.6241113879,-79823.27171826373,82.35239312416525
Hs6_Tp9_DOFbest_v_roll,4.920839148544537e-07,1.1678802521963858e-05,-0.0002724551886785,0.0002117062686011,-0.2674550890563295,50.55544539343777,18536.329395922854,0.0,False,t,-1100301.025228828,-1073406.9078557626,26894.117373065325
Hs8_Tp9_low_v_Z,0.04365323588709081,1.163845148867512,-5.070826825200822,5.032520514821185,-0.22887681691383885,0.9923925224987511,1492.9503573907616,0.0,False,logistic,167958.0087067657,169638.2680513007,1680.2593445350067
