Hs,Tp,Direction,damp_config,heave_std,pitch_std,roll_std,heave_max,pitch_max,roll_max
2.0,4.58,0,quadhigh,0.1515960229190097,1.7729008125823726,0.00013398069045104737,0.49657150121971416,6.120860736216684,0.0005438860990045087
2.0,4.58,45,quadhigh,0.16553283156940732,0.8228413943989777,1.3003492161648595,0.5242339590865153,2.924772228407279,5.076754525522257
2.0,4.58,90,quadhigh,0.14890885461327377,0.8505262763254661,0.7706159732730371,0.45874854055019443,3.0230571980433227,3.070237476745193
2.0,4.58,135,quadhigh,0.16091323045846456,0.6056578258092088,0.43592291980494663,0.5491649921075613,2.370505901525461,1.9024358337143068
2.0,4.58,180,quadhigh,0.18461618066258675,1.9984074947518908,0.00015735487089093108,0.5972667728679047,7.424792578804469,0.0006575580886078985
1.0,3.58,0,DOFbest,0.02845913584725185,0.7133848010402991,2.7607742676003847e-05,0.10825875419047148,2.8398078240568685,0.00013619607055901707
1.0,3.58,45,DOFbest,0.023996429421824325,0.30344225359231225,0.4230387401952843,0.08753612436740488,1.3608167380363734,1.775581603826116
1.0,3.58,90,DOFbest,0.017853242391438335,0.21172928455967674,0.3066520718602923,0.0628441041586576,0.8393297696397044,1.3298146483838251
1.0,3.58,135,DOFbest,0.024205065569450263,0.2612547944146619,0.1604731250217067,0.09432423580686256,1.089972399545029,0.692385209076606
1.0,3.58,180,DOFbest,0.03243801826443373,0.7228147739153058,2.5541853887414886e-05,0.1201864224363256,3.0458070404588398,0.0001539109300163384
1.0,4.08,0,DOFbest,0.05140062842219232,0.8208721810251992,4.864955958930925e-05,0.18505110155432314,3.7045218218276803,0.00023365758993671468
1.0,4.08,45,DOFbest,0.053541784099410954,0.3554991832154755,0.5294119500393335,0.18389140709517182,1.740737580041205,2.516988652294014
1.0,4.08,90,DOFbest,0.04660165829207326,0.3204458953441105,0.3334834653059265,0.14859419365503168,1.4287827910325235,1.284291936841395
1.0,4.08,135,DOFbest,0.04981772759027984,0.2838714078847921,0.17692323248252392,0.18417450357366494,1.1937624155246607,0.73058200210392
1.0,4.08,180,DOFbest,0.06158668969271624,0.8542518287022315,4.679278549419355e-05,0.22340735439073156,3.834996703505333,0.00018885320583125384
1.0,4.58,0,DOFbest,0.0876282962636418,0.8992866324946375,7.842006614270615e-05,0.31563443141403025,3.2038353886406727,0.0003327687634512829
1.0,4.58,45,DOFbest,0.09560496357097911,0.39802491806311807,0.6245773071581465,0.3299207270564857,1.3832691378420165,2.452337922260081
1.0,4.58,90,DOFbest,0.08847568884934287,0.41918582351486744,0.37290683224389853,0.2799051130469199,1.5486159435895828,1.4346650061977897
1.0,4.58,135,DOFbest,0.09067865681403615,0.29321102092959556,0.20304101777537206,0.33264575256738393,1.1963836423687004,0.8268022596000273
1.0,4.58,180,DOFbest,0.10381808782854701,0.9692954380807456,8.632443436587618e-05,0.3692160592934599,3.7201879264096807,0.00034419819035583677
2.0,3.58,0,DOFbest,0.05325964885756826,1.4198942519821833,7.436940418374705e-05,0.22117851773953,5.524840022731043,0.0004768476059421626
2.0,3.58,45,DOFbest,0.045876902189996675,0.6096896085504745,0.8431330814078039,0.171391461055036,2.705632222221455,3.6754739570250092
2.0,3.58,90,DOFbest,0.03268551578452479,0.4251112591736879,0.6155151416757932,0.12195669060283232,1.7483881209165004,2.8072520951596682
2.0,3.58,135,DOFbest,0.04802083154812996,0.5143596275346524,0.32673286864307766,0.18092307372998306,2.2141009049735896,1.3908923967064042
2.0,3.58,180,DOFbest,0.06440757108745754,1.4485963359372553,6.708069597770014e-05,0.25173023052789545,6.115840208244158,0.0004953727699475113
2.0,4.08,0,DOFbest,0.09138593148042809,1.6245295613116233,9.277299862738411e-05,0.31260464122339526,7.118285301434298,0.0004844421624757391
2.0,4.08,45,DOFbest,0.0949909048136443,0.7175129423607818,1.0643723122713094,0.31143510571950017,3.633832003959876,4.881273268772586
2.0,4.08,90,DOFbest,0.0806364029959203,0.6348200066631626,0.6733930501449292,0.2599909530039187,2.967117748474129,2.523774796185995
2.0,4.08,135,DOFbest,0.09251446962175958,0.5649312949868911,0.36587603712221717,0.33014659032060045,2.5447329040643063,1.5621400351170245
2.0,4.08,180,DOFbest,0.11422648014104728,1.7218808632841414,9.585896740155481e-05,0.39037465423290374,7.897449003077979,0.0005082980373558603
2.0,4.58,0,DOFbest,0.14673010701641093,1.7660147526799117,0.00012469008979521586,0.48613137094676495,6.1180111880887,0.0005518045844985374
2.0,4.58,45,DOFbest,0.16007943038283004,0.8159748365482142,1.2895719128613443,0.5132998142052028,2.9213922797237686,5.054686449462068
2.0,4.58,90,DOFbest,0.14372339926830272,0.843123545893114,0.7633752564915192,0.44727472912244226,2.994483501400866,3.047419855902401
2.0,4.58,135,DOFbest,0.1554047583045483,0.601487464775893,0.4306677498065016,0.5371377222921562,2.3487614213174686,1.880806876273492
2.0,4.58,180,DOFbest,0.17915486554480983,1.9881923323335267,0.00014975027565462525,0.5856253158005851,7.401962422067396,0.0006871473877622905
