Hs,Tp,Direction,damp_config,heave_std,heave_max,pitch_std,pitch_max,roll_std,roll_max
4.0,6.59,90,DOFbest,0.5370428904470178,-0.7329458794780375,0.7552608847618103,-5.39657685945668,-0.910591273550729,0.11137875275547571
4.0,6.59,135,DOFbest,0.5649367411168202,-0.11921351249920509,0.8550429940223694,0.010939401729419984,-0.9147537990236283,0.2769940004923126
4.0,6.59,180,DOFbest,0.5981344312612918,5.851544825044652,0.8821771740913391,23.335796507978493,-0.9283068776505687,0.5666316610760743
4.0,7.09,0,DOFbest,0.5675544275572302,3.4723357162731756,0.7655626535415649,12.462051901946309,-0.8902591192815481,0.11308373428575241
4.0,7.09,45,DOFbest,0.6333136980049661,-1.6647824281940204,1.09871506690979,-8.103880285115789,-0.888153222099998,-0.015014629305000554
4.0,7.09,90,DOFbest,0.6007845400021166,-0.8890719375440814,0.901130735874176,-5.2930593661696115,-0.9080177151680061,0.10201964832947386
4.0,7.09,135,DOFbest,0.6250432182397784,-0.22163622850442177,1.0333422422409058,-0.14524568024761386,-0.911639424966471,0.2667049339426202
4.0,7.09,180,DOFbest,0.6592323458727174,5.920761756056298,1.1044564247131348,22.30426255668332,-0.921709686494453,0.5739421147597701
4.0,7.59,0,DOFbest,0.6168738174937647,3.4141962567725366,0.8755543828010559,13.525996692741876,-0.8899602804676804,0.10773357862231803
4.0,7.59,45,DOFbest,0.6857676035109767,-1.6604995706171164,1.1080390214920044,-6.106773952939081,-0.8861836566387512,-0.03226887304817824
4.0,7.59,90,DOFbest,0.6533363424273854,-0.992621518372812,0.9698343873023987,-6.9603230567217125,-0.9071910736796454,0.09930494052530794
4.0,7.59,135,DOFbest,0.6731680690260751,-0.3038610432210338,1.0191385746002197,-0.08905969036144157,-0.9103064058783423,0.2628712318243641
4.0,7.59,180,DOFbest,0.7099963245006233,5.868723598433227,1.106000304222107,23.585828451084485,-0.9201223802190966,0.565835935627785
