filename,Hs,Tp,Tz,Direction,Damp_Heave,Damp_Roll,Damp_Pitch,Lin_Heave,Quad_Heave,Lin_Roll,Quad_Roll,Lin_Pitch,Quad_Pitch,Std Z,Std pitch,Std roll,Mean Z,Mean pitch,Mean roll,MPM Z,MPM pitch,MPM roll,Mean velocity Z,Mean velocity pitch,Mean velocity roll,std velocity Z,std velocity pitch,std velocity roll
ymlfiles\Case_186_H1_T9p5_dir45_heavelinhigh_pitchlinhigh_rolllinhigh.yml,1,9.5,7.3643,45,linhigh,linhigh,linhigh,6.5,1.0,300,300.0,325,200,0.25410720649761004,0.5016415780777115,0.8384163334088789,-0.15375445998158624,0.6729184850358478,-0.00367737571745234,0.8082840838514522,2.5784993588764644,3.1785832133033667,-0.0010321372608700428,-9.346883458632239e-06,4.715686437988299e-06,0.19120708905172912,0.0069859013699000265,0.011473391998684825
ymlfiles\Case_187_H1_T9p5_dir45_heavequadhigh_pitchquadhigh_rollquadhigh.yml,1,9.5,7.3643,45,quadhigh,quadhigh,quadhigh,1.0,4.0,100,1300.0,150,1300,0.2604033805650501,0.5421643114113981,0.9087334071100422,-0.15385640969588596,0.6727765546447788,-0.0037570242488051938,0.832462533316779,2.731447906664045,3.4443241300606493,-0.0011260360631103535,-9.256174200791634e-06,6.122267055902506e-06,0.19762211960326198,0.00753964599313332,0.012376933875166186
ymlfiles\Case_188_H1_T9p5_dir45_heaveDOFbest_pitchDOFbest_rollDOFbest.yml,1,9.5,7.3643,45,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.25791099767649023,0.5194116125863428,0.8634463752847101,-0.1537800144703258,0.6729069764720437,-0.0036656655053828417,0.8228890966610394,2.6456885049391814,3.2737673026859704,-0.0010698707330616254,-9.380465393266142e-06,5.2054788092428105e-06,0.1950620823376304,0.007227298374711942,0.011794358401690814
ymlfiles\Case_189_H1_T9p5_dir90_heavelow_pitchlow_rolllow.yml,1,9.5,7.3643,90,low,low,low,1.0,1.0,100,300.0,150,200,0.2576115405697093,0.5295881117671033,0.7312199569968026,-0.15350347917406115,0.6779462760813654,0.0019378562169266099,0.8220121450825951,2.6914140117907253,2.7701690914382087,-0.0011662661202493205,-4.9597936708136984e-06,-7.004817310598667e-06,0.19320453147949065,0.007499323523031714,0.009522652503344622
ymlfiles\Case_190_H1_T9p5_dir90_heavelinhigh_pitchlinhigh_rolllinhigh.yml,1,9.5,7.3643,90,linhigh,linhigh,linhigh,6.5,1.0,300,300.0,325,200,0.25043239208745377,0.4820249178614693,0.6678966019658267,-0.1534113529914345,0.6785172339675521,0.002171860734459018,0.7946110386793679,2.510414463408016,2.5310806239481685,-0.0010616575149028629,-4.0259054692918224e-06,-6.537096629702693e-06,0.18586962016082953,0.006831505821232687,0.008704142357705422
ymlfiles\Case_191_H1_T9p5_dir90_heavequadhigh_pitchquadhigh_rollquadhigh.yml,1,9.5,7.3643,90,quadhigh,quadhigh,quadhigh,1.0,4.0,100,1300.0,150,1300,0.2565103687521494,0.5254680778904054,0.7256665501329028,-0.15351848906478577,0.6779973567700249,0.0019335244271744198,0.8178272509132192,2.675803490569228,2.7492853528486036,-0.0011575885793979484,-4.862463443144488e-06,-6.954195216080523e-06,0.1920697439722052,0.007440752821393083,0.009452411800881818
ymlfiles\Case_192_H1_T9p5_dir90_heaveDOFbest_pitchDOFbest_rollDOFbest.yml,1,9.5,7.3643,90,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.2540859717464152,0.5010763059840792,0.6879541150366439,-0.15344312381772574,0.678288547051778,0.002032745696375388,0.8085668293377075,2.582974255568185,2.6070268565557426,-0.0010954336906944778,-4.360858095787032e-06,-6.751833254524898e-06,0.18957769561673365,0.007099350700000089,0.008960391445942736
ymlfiles\Case_193_H1_T9p5_dir135_heavelow_pitchlow_rolllow.yml,1,9.5,7.3643,135,low,low,low,1.0,1.0,100,300.0,150,200,0.2571313640343193,0.6127348210484798,0.5030065541079596,-0.1534400100857108,0.682592251279332,0.002022750162656282,0.8206208984684418,3.0079097639160635,1.905049553044657,-0.000902490148339841,-1.174955199496378e-05,-1.1177602188881942e-05,0.19251123567756692,0.00843201915142189,0.006427068633579655
ymlfiles\Case_194_H1_T9p5_dir135_heavelinhigh_pitchlinhigh_rolllinhigh.yml,1,9.5,7.3643,135,linhigh,linhigh,linhigh,6.5,1.0,300,300.0,325,200,0.2500962375323545,0.5766196235462187,0.45439811987297174,-0.15336913556483528,0.6832805378013179,0.002043791959094802,0.7932796778396183,2.871428096807651,1.7215442240856997,-0.0008517034053207597,-1.1260039106441573e-05,-9.63470667931118e-06,0.18514242201603368,0.007912462671129196,0.005800322321540124
ymlfiles\Case_195_H1_T9p5_dir135_heavequadhigh_pitchquadhigh_rollquadhigh.yml,1,9.5,7.3643,135,quadhigh,quadhigh,quadhigh,1.0,4.0,100,1300.0,150,1300,0.25604946458652805,0.610089021834563,0.49969450726377035,-0.15345125735460063,0.6826737692188741,0.001992013170360668,0.8164594411793367,2.9978305023418446,1.892385266710424,-0.0008999498551076654,-1.1671999326013346e-05,-1.1045582043987121e-05,0.19136694460223436,0.00839316268506934,0.006385800524295395
