filename,Hs,Tp,Tz,Direction,Damp_Heave,Damp_Roll,Damp_Pitch,Lin_Heave,Quad_Heave,Lin_Roll,Quad_Roll,Lin_Pitch,Quad_Pitch,std Z,std pitch,std roll,max Z,max pitch,max roll,mean Z,mean pitch,mean roll,MPM Z,MPM pitch,MPM roll
ymlfiles\Case_270_H1_T408_dir180_quadhigh.yml,1,4.08,2.8936,180,quadhigh,quadhigh,quadhigh,1,4,100,1300,150,1300,0.0643565457450679,0.8571902796310208,5.107806064654664e-05,-0.7070886492729187,4.136027028316745,-0.0018324669250878586,-0.9396523275943818,0.3056899584995127,-0.0020479113231206994,-0.6873720427475882,3.7176687116410188,-0.0018476521829890462
ymlfiles\Case_271_H1_T458_dir0_quadhigh.yml,1,4.58,3.2482,0,quadhigh,quadhigh,quadhigh,1,4,100,1300,150,1300,0.09156312108052081,0.9040722051024853,8.302215196199815e-05,-0.6120476722717285,3.548093522628745,-0.0017141894680430933,-0.9386699197722805,0.3077919524919486,-0.002049688075647949,-0.5822483879213028,3.889028640845198,-0.0017247220709543968
ymlfiles\Case_272_H1_T458_dir45_quadhigh.yml,1,4.58,3.2482,45,quadhigh,quadhigh,quadhigh,1,4,100,1300,150,1300,0.1000937417669243,0.4014012981701583,0.6300193041453618,-0.5975898504257202,1.6937281122649595,2.479999212392729,-0.9385880016789392,0.3120321938860259,-0.0012617489240054455,-0.5496168929090346,1.9001507663515564,2.484408128226253
ymlfiles\Case_273_H1_T458_dir90_quadhigh.yml,1,4.58,3.2482,90,quadhigh,quadhigh,quadhigh,1,4,100,1300,150,1300,0.09278824736333922,0.4226737511845992,0.3765323858738904,-0.6476173400878906,1.868339123631985,1.4391495662605418,-0.9388726382686032,0.30280936700031896,-0.005136262341262744,-0.5789260523669015,1.9612087753495646,1.4908621186711608
ymlfiles\Case_274_H1_T458_dir135_quadhigh.yml,1,4.58,3.2482,135,quadhigh,quadhigh,quadhigh,1,4,100,1300,150,1300,0.09511639721160049,0.29489069857146627,0.20524772794042923,-0.5939453840255737,1.516940084821698,0.8333320640045093,-0.9383202219489548,0.30676901601113243,-0.002025973386333145,-0.5686343303208425,1.480445079781202,0.812507827697803
ymlfiles\Case_275_H1_T458_dir180_quadhigh.yml,1,4.58,3.2482,180,quadhigh,quadhigh,quadhigh,1,4,100,1300,150,1300,0.10840012648969762,0.9757282595967879,9.139241858118392e-05,-0.5578901767730713,4.0562154140915,-0.0016841605438584224,-0.9390372406084229,0.3054741963376624,-0.0020491626460245648,-0.5169132331080964,4.165188012008883,-0.001693003541459979
ymlfiles\Case_276_H2_T358_dir0_quadhigh.yml,2,3.58,2.539,0,quadhigh,quadhigh,quadhigh,1,4,100,1300,150,1300,0.05426862208546833,1.4227543417229198,7.686435395030444e-05,-0.7188958525657654,5.832096187919727,-0.001572211558901998,-0.9426860009106222,0.30311890145345294,-0.0020366958059513736,-0.7276273774276045,5.999139450577023,-0.0017326771112312087
ymlfiles\Case_277_H2_T358_dir45_quadhigh.yml,2,3.58,2.539,45,quadhigh,quadhigh,quadhigh,1,4,100,1300,150,1300,0.04708672507417915,0.6115160605843288,0.8458695575658355,-0.7674023509025574,3.0201425247883846,3.682052955603147,-0.9420701731471,0.3088650390571911,0.004240759892467076,-0.7559140829599956,2.754377014724441,3.377989924727441
ymlfiles\Case_278_H2_T358_dir90_quadhigh.yml,2,3.58,2.539,90,quadhigh,quadhigh,quadhigh,1,4,100,1300,150,1300,0.03398417744774513,0.42704063024669103,0.6172115241195312,-0.8163367509841919,2.055021640583362,2.8038374774066623,-0.9421475256775265,0.3010983065147666,-0.0022542058033869104,-0.8083867725614851,1.9920492214887653,2.490711178397676
ymlfiles\Case_279_H2_T358_dir135_quadhigh.yml,2,3.58,2.539,135,quadhigh,quadhigh,quadhigh,1,4,100,1300,150,1300,0.04916772699918795,0.5155951501529838,0.32781593719481755,-0.7557867169380188,2.523225772102447,1.3996777963253324,-0.939735397298027,0.30652382433437386,0.0008142060857848352,-0.7449369536778853,2.376545059405031,1.3248379673159432
ymlfiles\Case_280_H2_T358_dir180_quadhigh.yml,2,3.58,2.539,180,quadhigh,quadhigh,quadhigh,1,4,100,1300,150,1300,0.06577083559632708,1.4513233370659329,7.094776769022312e-05,-0.6884941458702087,6.4138434632104,-0.0014775811931006723,-0.9432003440796225,0.3132271420336592,-0.002032613640777523,-0.6826003078332431,6.120373172090582,-0.0017542130517898009
ymlfiles\Case_281_H2_T408_dir0_quadhigh.yml,2,4.08,2.8936,0,quadhigh,quadhigh,quadhigh,1,4,100,1300,150,1300,0.09449013429598653,1.6286089159644133,9.821003274270122e-05,-0.6214781403541565,7.41527768846803,-0.0015617110393486794,-0.9419272871663174,0.30374593987799214,-0.002036076199780398,-0.5710332032779515,6.791765454063281,-0.0016486936596341738
ymlfiles\Case_282_H2_T408_dir45_quadhigh.yml,2,4.08,2.8936,45,quadhigh,quadhigh,quadhigh,1,4,100,1300,150,1300,0.09883824893754478,0.7204796382433163,1.069237651851277,-0.6199190616607666,3.95382831711207,4.881122119589681,-0.94131958391545,0.3158236965629069,0.005434473703329006,-0.554636336449382,3.182192102379574,4.246595592001567
ymlfiles\Case_283_H2_T408_dir90_quadhigh.yml,2,4.08,2.8936,90,quadhigh,quadhigh,quadhigh,1,4,100,1300,150,1300,0.08447705862697645,0.6382293450712855,0.6763709439321751,-0.6728933453559875,3.262571765084936,2.5246016283333814,-0.9414467704296112,0.29856484105370484,-0.00577148153521762,-0.612227320982012,2.81420342581079,2.704630584646855
ymlfiles\Case_284_H2_T408_dir135_quadhigh.yml,2,4.08,2.8936,135,quadhigh,quadhigh,quadhigh,1,4,100,1300,150,1300,0.09629660221109457,0.5669155856435374,0.36791630662268376,-0.5978906750679016,2.850441565660952,1.5723949243015605,-0.9390382501758912,0.30886249041558955,0.0006921454420801988,-0.5617788337163543,2.573547371202331,1.4738277689326371
ymlfiles\Case_285_H2_T408_dir180_quadhigh.yml,2,4.08,2.8936,180,quadhigh,quadhigh,quadhigh,1,4,100,1300,150,1300,0.11798779350529788,1.726639992861366,0.00010211034022686899,-0.5406184196472168,8.165449317841578,-0.001589518818031774,-0.942368944319862,0.31143407866747597,-0.0020335729409867893,-0.4792892019040077,7.1815047582864615,-0.0016333255054246888
ymlfiles\Case_286_H2_T458_dir0_quadhigh.yml,2,4.58,3.2482,0,quadhigh,quadhigh,quadhigh,1,4,100,1300,150,1300,0.1515960229190097,1.7729008125823726,0.00013398069045104737,-0.44375208020210266,6.426640249507241,-0.001490590714944013,-0.9403235814218168,0.30577951329055747,-0.0020344768139485218,-0.34985815013552013,7.330742586469177,-0.0015093518220135346
ymlfiles\Case_287_H2_T458_dir45_quadhigh.yml,2,4.58,3.2482,45,quadhigh,quadhigh,quadhigh,1,4,100,1300,150,1300,0.16553283156940732,0.8228413943989777,1.3003492161648595,-0.4156159460544586,3.245874513885194,5.0806473131713865,-0.9398499051409739,0.32110228547791536,0.003892787649129899,-0.29580216942768767,3.573526621957226,5.1287264142570645
