sea_key,Hs_m,Tp_s,direction_deg,wave_type,case,heave_option,pitch_option,roll_option,response,status,mean,std,rms,max_abs,ptp,amplitude,minimum,maximum
Hs2_Tp8_Dirmodel,2.0,8.0,,Dean stream,case_26,quadhigh,quadhigh,linhigh,heave,ok,-0.36028653521383747,0.6774913976436152,0.7673336831766809,1.3072106838226318,1.9134600162506104,0.9567300081253052,-1.3072106838226318,0.6062493324279785
Hs2_Tp8_Dirmodel,2.0,8.0,,Dean stream,case_26,quadhigh,quadhigh,linhigh,pitch,ok,-0.10017573779311312,3.653967558358744,3.655340489746551,5.299218916140495,10.43282196660746,5.21641098330373,-5.299218916140495,5.133603050466965
Hs2_Tp8_Dirmodel,2.0,8.0,,Dean stream,case_26,quadhigh,quadhigh,linhigh,roll,ok,-0.0021718722808908293,0.0025604155731762273,0.0033574926823249046,0.008406911492731085,0.013713152640416093,0.006856576320208046,-0.008406911492731085,0.005306241147685008
Hs2_Tp8_Dirmodel,2.0,8.0,,Dean stream,case_27,quadhigh,quadhigh,quadhigh,heave,ok,-0.3602927023011228,0.6774369455333394,0.7672885027843087,1.3073667287826538,1.9135783314704895,0.9567891657352448,-1.3073667287826538,0.6062116026878357
Hs2_Tp8_Dirmodel,2.0,8.0,,Dean stream,case_27,quadhigh,quadhigh,quadhigh,pitch,ok,-0.10010623537174064,3.6553524549249903,3.656722962993841,5.299745694480232,10.433367101080592,5.216683550540296,-5.299745694480232,5.1336214066003585
Hs2_Tp8_Dirmodel,2.0,8.0,,Dean stream,case_27,quadhigh,quadhigh,quadhigh,roll,ok,-0.002125948067334188,0.0022266411505948514,0.0030785688230936686,0.007412983065072022,0.012042808701300981,0.006021404350650491,-0.007412983065072022,0.00462982563622896
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_01,low,low,low,heave,ok,-0.3896451067742188,1.1871687039001781,1.2494770269009037,2.463007688522339,3.585981011390686,1.792990505695343,-2.463007688522339,1.1229733228683472
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_01,low,low,low,pitch,ok,-0.703240547165918,9.828939556373292,9.854065154544992,14.31689356172619,27.975095632727395,13.987547816363698,-14.31689356172619,13.658202071001206
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_01,low,low,low,roll,ok,-0.0014997829811127753,0.012163228326541774,0.012255344642808856,0.029176260277406947,0.05753949792490429,0.028769748962452144,-0.02836323764749734,0.029176260277406947
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_02,low,low,linhigh,heave,ok,-0.3897025984561957,1.1872845895891797,1.2496050623774928,2.463296413421631,3.5874522924423218,1.7937261462211609,-2.463296413421631,1.124155879020691
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_02,low,low,linhigh,pitch,ok,-0.7036676974249462,9.826756842599345,9.851918507172721,14.312503457637163,27.955377730367214,13.977688865183607,-14.312503457637163,13.642874272730051
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_02,low,low,linhigh,roll,ok,-0.001757257657835776,0.011144436092714571,0.011282127915452017,0.03003713758719962,0.05600091277049962,0.02800045638524981,-0.0259637751833,0.03003713758719962
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_03,low,low,quadhigh,heave,ok,-0.3898062101177541,1.1874032754882993,1.249750143063288,2.4629857540130615,3.585890054702759,1.7929450273513794,-2.4629857540130615,1.1229043006896973
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_03,low,low,quadhigh,pitch,ok,-0.702907887259914,9.821841771433242,9.846961728423802,14.304186848549026,27.941263144447383,13.970631572223692,-14.304186848549026,13.637076295898357
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_03,low,low,quadhigh,roll,ok,-0.0017159120240553848,0.018931139774309592,0.01900874554589925,0.04206448039567722,0.07498578875688704,0.03749289437844352,-0.04206448039567722,0.032921308361209815
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_04,low,linhigh,low,heave,ok,-0.3900772295280368,1.1900602293765443,1.252359211464515,2.4498074054718018,3.5667113065719604,1.7833556532859802,-2.4498074054718018,1.1169039011001587
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_04,low,linhigh,low,pitch,ok,-0.6283327623018043,9.020103591469008,9.041961671065296,13.180261291376857,25.712253106928525,12.856126553464263,-13.180261291376857,12.531991815551669
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_04,low,linhigh,low,roll,ok,-0.0032769720603413204,0.01608578333859026,0.016416180173850603,0.04343047153893349,0.08096157062052012,0.04048078531026006,-0.04343047153893349,0.037531099081586625
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_05,low,linhigh,linhigh,heave,ok,-0.390013533252403,1.1899418571822538,1.2522268882252827,2.4497756958007812,3.5667645931243896,1.7833822965621948,-2.4497756958007812,1.1169888973236084
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_05,low,linhigh,linhigh,pitch,ok,-0.6282465150016919,9.022025137872415,9.043872581588793,13.178970385623725,25.712154922959208,12.856077461479604,-13.178970385623725,12.533184537335481
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_05,low,linhigh,linhigh,roll,ok,-0.0024448417503616705,0.013485904931985418,0.013705724461656892,0.03317537272203577,0.06417511007990431,0.032087555039952156,-0.03099973735786854,0.03317537272203577
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_06,low,linhigh,quadhigh,heave,ok,-0.39005815327913385,1.1899530746467721,1.2522514455175664,2.4497971534729004,3.5667262077331543,1.7833631038665771,-2.4497971534729004,1.116929054260254
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_06,low,linhigh,quadhigh,pitch,ok,-0.6280139132626961,9.019626703837806,9.04146378369319,13.172177762494147,25.689856062866408,12.844928031433204,-13.172177762494147,12.51767830037226
