filename,Hs,Tp,Tz,Direction,Damp_Heave,Damp_Roll,Damp_Pitch,Lin_Heave,Quad_Heave,Lin_Roll,Quad_Roll,Lin_Pitch,Quad_Pitch,Std Z,Std pitch,Std roll,Mean Z,Mean pitch,Mean roll,MPM Z,MPM pitch,MPM roll
ymlfiles\Case_311_H2_T4p5_dir90_heavequadhigh_pitchquadhigh_rollquadhigh.yml,2,4.5,3.4884,90,quadhigh,quadhigh,quadhigh,1.0,4.0,100,1300.0,150,1300,0.09612672109620492,0.4805368786400242,0.43745388871459634,-0.16126710430373303,0.6647795291894275,0.009092323788792218,0.2116012492569022,2.554207830223868,1.7578306687593963
ymlfiles\Case_312_H2_T4p5_dir90_heaveDOFbest_pitchDOFbest_rollDOFbest.yml,2,4.5,3.4884,90,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.09237936038873033,0.47747885673164103,0.43549914469952633,-0.16128419649394202,0.6647873745332677,0.008987570403827706,0.19708703303502587,2.5425117697820863,1.749948675572601
ymlfiles\Case_313_H2_T4p5_dir135_heavelow_pitchlow_rolllow.yml,2,4.5,3.4884,135,low,low,low,1.0,1.0,100,300.0,150,200,0.09908683460942952,0.54272159482723,0.28458894799676776,-0.15905923810451073,0.6954450337693887,0.017420036937962305,0.22646391581920045,2.852330923415197,1.1505847811219014
ymlfiles\Case_314_H2_T4p5_dir135_heavelinhigh_pitchlinhigh_rolllinhigh.yml,2,4.5,3.4884,135,linhigh,linhigh,linhigh,6.5,1.0,300,300.0,325,200,0.08990219962597037,0.5383244351012226,0.2815022224456395,-0.15912715861816243,0.6956505741417612,0.017717059695536944,0.1908272314383518,2.8360151319425797,1.1390995274892157
ymlfiles\Case_315_H2_T4p5_dir135_heavequadhigh_pitchquadhigh_rollquadhigh.yml,2,4.5,3.4884,135,quadhigh,quadhigh,quadhigh,1.0,4.0,100,1300.0,150,1300,0.09818867384634755,0.54202111355594,0.28437424418455354,-0.15907310245125922,0.6954601454538961,0.017438367979605598,0.22298157923067313,2.849815621697119,1.149851229457933
ymlfiles\Case_316_H2_T4p5_dir135_heaveDOFbest_pitchDOFbest_rollDOFbest.yml,2,4.5,3.4884,135,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.0946574972964509,0.5400355132723215,0.28258758950555746,-0.15909519950562512,0.6955408213672767,0.017589008989862456,0.20929477462174728,2.8422562052430913,1.1431424318090413
ymlfiles\Case_317_H2_T4p5_dir180_heavelow_pitchlow_rolllow.yml,2,4.5,3.4884,180,low,low,low,1.0,1.0,100,300.0,150,200,0.12114746019082799,1.5820539104802849,0.00019877282092765466,-0.1629222578373301,0.7025869778803315,-0.002373456102089343,0.30975416651076126,6.974424994646243,-0.0016142680759952369
ymlfiles\Case_318_H2_T4p5_dir180_heavelinhigh_pitchlinhigh_rolllinhigh.yml,2,4.5,3.4884,180,linhigh,linhigh,linhigh,6.5,1.0,300,300.0,325,200,0.11168684196668859,1.5687226363080873,0.00018472941145201383,-0.16306511234158994,0.7031998796533038,-0.0023720493702461274,0.27296708732715913,6.923257873200533,-0.001666106177620397
ymlfiles\Case_319_H2_T4p5_dir180_heavequadhigh_pitchquadhigh_rollquadhigh.yml,2,4.5,3.4884,180,quadhigh,quadhigh,quadhigh,1.0,4.0,100,1300.0,150,1300,0.11995038026070566,1.5767022612883816,0.00015424689092938756,-0.16295039500963632,0.7026644162193122,-0.002353856189546519,0.3050858512063972,6.9535941323438255,-0.0017645922898055515
ymlfiles\Case_320_H2_T4p5_dir180_heaveDOFbest_pitchDOFbest_rollDOFbest.yml,2,4.5,3.4884,180,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.11649551756593456,1.5725217454112093,0.00015401645744595583,-0.16299357559974006,0.7029368271522104,-0.002356058707175879,0.29165054199436224,6.937599158483514,-0.0017669934701985378
